VARIABLE_NAME,DESCRIPTION,LOCATION,XPATH
SC-PC-02-AGSASBNLERRAZ,US Address Zip,SCHED-C-PART-02A-LINE-B-COL-B05,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/ZIPCode
SC-PC-02-AGSASBNLERFC1,Foreign Address 1,SCHED-C-PART-02A-LINE-B-COL-B06,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/ForeignAddress/AddressLine1
SC-PC-02-AGSASBNLERFC1,Foreign Address 1,SCHED-C-PART-02A-LINE-B-COL-B06,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ForeignAddress/AddressLine1
SC-PC-02-AGSASBNLERFC1,Foreign Address 1,SCHED-C-PART-02A-LINE-B-COL-B06,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ForeignAddress/AddressLine1Txt
SC-PC-02-AGSASBNLERFC2,Foreign Address 2,SCHED-C-PART-02A-LINE-B-COL-B07,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/ForeignAddress/AddressLine2
SC-PC-02-AGSASBNLERFC2,Foreign Address 2,SCHED-C-PART-02A-LINE-B-COL-B07,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ForeignAddress/AddressLine2
SC-PC-02-AGSASBNLERFC2,Foreign Address 2,SCHED-C-PART-02A-LINE-B-COL-B07,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ForeignAddress/AddressLine2Txt
SC-PC-02-AGSASBNLERFCC,Foreign Address City,SCHED-C-PART-02A-LINE-B-COL-B08,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/ForeignAddress/City
SC-PC-02-AGSASBNLERFCC,Foreign Address City,SCHED-C-PART-02A-LINE-B-COL-B08,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ForeignAddress/City
SC-PC-02-AGSASBNLERFCC,Foreign Address City,SCHED-C-PART-02A-LINE-B-COL-B08,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ForeignAddress/CityNm
SC-PC-02-AGSASBNLERFCS,Foreign Address Province,SCHED-C-PART-02A-LINE-B-COL-B09,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/ForeignAddress/ProvinceOrState
SC-PC-02-AGSASBNLERFCS,Foreign Address Province,SCHED-C-PART-02A-LINE-B-COL-B09,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ForeignAddress/ProvinceOrState
SC-PC-02-AGSASBNLERFCS,Foreign Address Province,SCHED-C-PART-02A-LINE-B-COL-B09,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ForeignAddress/ProvinceOrStateNm
SC-PC-02-AGSASBNLERFCZ,Foreign Address Postal,SCHED-C-PART-02A-LINE-B-COL-B10,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/ForeignAddress/PostalCode
SC-PC-02-AGSASBNLERFCZ,Foreign Address Postal,SCHED-C-PART-02A-LINE-B-COL-B10,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ForeignAddress/ForeignPostalCd
SC-PC-02-AGSASBNLERFCZ,Foreign Address Postal,SCHED-C-PART-02A-LINE-B-COL-B10,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ForeignAddress/PostalCode
SC-PC-02-AGSASBNLERCCC,Foreign Address Country,SCHED-C-PART-02A-LINE-B-COL-B11,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/ForeignAddress/Country
SC-PC-02-AGSASBNLERCCC,Foreign Address Country,SCHED-C-PART-02A-LINE-B-COL-B11,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ForeignAddress/Country
SC-PC-02-AGSASBNLERCCC,Foreign Address Country,SCHED-C-PART-02A-LINE-B-COL-B11,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ForeignAddress/CountryCd
SC-PC-02-AGSASBNLEREIN,EIN,SCHED-C-PART-02A-LINE-B-COL-C,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/EIN
SC-PC-02-AGSASBNLEREIN,EIN,SCHED-C-PART-02A-LINE-B-COL-C,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/EIN
SC-PC-02-AGSASBNLEORG,Electing Org,SCHED-C-PART-02A-LINE-B-COL-D,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/ElectingOrg
SC-PC-02-AGSASBNLEORG,Electing Org,SCHED-C-PART-02A-LINE-B-COL-D,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ElectingOrganizationInd
SC-PC-02-AGSASBNLEOTGL,TotalGrassrootsLobbyAmt,SCHED-C-PART-02A-LINE-B-COL-E,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalGrassrootsLobbying
SC-PC-02-AGSASBNLEOTGL,TotalGrassrootsLobbyAmt,SCHED-C-PART-02A-LINE-B-COL-E,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalGrassrootsLobbyAmt
SC-PC-02-AGSASBNLETDGL,TotalDirectLobbyAmt,SCHED-C-PART-02A-LINE-B-COL-F,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalDirectLobbying
SC-PC-02-AGSASBNLETDGL,TotalDirectLobbyAmt,SCHED-C-PART-02A-LINE-B-COL-F,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalDirectLobbyAmt
SC-PC-02-AGSASBNLTLEXP,TotalLobbyExpenditureAmt,SCHED-C-PART-02A-LINE-B-COL-G,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalLobbyingExpenditures
SC-PC-02-AGSASBNLTLEXP,TotalLobbyExpenditureAmt,SCHED-C-PART-02A-LINE-B-COL-G,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalLobbyExpenditureAmt
SC-PC-02-AGSASBNLTOEPE,OtherExemptPurposeExpendAmt,SCHED-C-PART-02A-LINE-B-COL-H,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/OtherExemptPurposeExpenditures
SC-PC-02-AGSASBNLTOEPE,OtherExemptPurposeExpendAmt,SCHED-C-PART-02A-LINE-B-COL-H,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/OtherExemptPurposeExpendAmt
SC-PC-02-AGSASBNLTEPEA,TotalExemptPurposeExpendAmt,SCHED-C-PART-02A-LINE-B-COL-I,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalExemptPurposeExpenditures
SC-PC-02-AGSASBNLTEPEA,TotalExemptPurposeExpendAmt,SCHED-C-PART-02A-LINE-B-COL-I,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalExemptPurposeExpendAmt
SC-PC-02-AGSASBNLOTLNA,LobbyNontxAmt,SCHED-C-PART-02A-LINE-B-COL-J,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/LobbyingNontaxableAmount
SC-PC-02-AGSASBNLOTLNA,LobbyNontxAmt,SCHED-C-PART-02A-LINE-B-COL-J,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/LobbyNontxAmt
SC-PC-02-AGSASBNLGNAG,GrassrootsNontxAmt,SCHED-C-PART-02A-LINE-B-COL-K,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/GrassrootsNontaxableAmount
SC-PC-02-AGSASBNLGNAG,GrassrootsNontxAmt,SCHED-C-PART-02A-LINE-B-COL-K,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/GrassrootsNontxAmt
SC-PC-02-AGSASBNTLGMN,TotalLobbyGrssrootMnsNontxAmt,SCHED-C-PART-02A-LINE-B-COL-L,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalLobbyGrssrootMnsNontxAmt
SC-PC-02-AGSASBNTLGMN,TotalLobbyGrssrootMnsNontxAmt,SCHED-C-PART-02A-LINE-B-COL-L,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotLobbyingGrassrootMinusNontx
SC-PC-02-AGSASBXTLGMN,TotLbbyExpendMnsLobbyNontxAmt,SCHED-C-PART-02A-LINE-B-COL-M,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotLobbyExpendMnsLobbyingNontx
SC-PC-02-AGSASBXTLGMN,TotLbbyExpendMnsLobbyNontxAmt,SCHED-C-PART-02A-LINE-B-COL-M,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotLbbyExpendMnsLobbyNontxAmt
SC-PC-02-AGSASBXSHELE,ShareExcessLobbyExpendAmt,SCHED-C-PART-02A-LINE-B-COL-N,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/ShareOfExcessLobbyingExpendtrs
SC-PC-02-AGSASBXSHELE,ShareExcessLobbyExpendAmt,SCHED-C-PART-02A-LINE-B-COL-N,Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ShareExcessLobbyExpendAmt
ANP-CD-01-EXPLANATIONX,Acty Not Previously Rpt Expln - Explanation,COL-A,Return/ReturnData/ActyNotPreviouslyRptExpln/Explanation
ANP-CD-01-EXPLANATIONX,Acty Not Previously Rpt Expln - ExplanationTxt,COL-A,Return/ReturnData/ActyNotPreviouslyRptExpln/ExplanationTxt
AOP-PF-07-ALOTPRREINDE,All Oth Prog Rltd Investments - Description,SCHED-PF-PART-07-Col-A,Return/ReturnData/AllOthProgRltdInvestmentsSch/AllOtherProgramRelatedInvstGrp/Desc
AOP-PF-07-ALOTPRRLINDE,All Oth Prog Rltd Investments - Description,SCHED-PF-PART-07-Col-A,Return/ReturnData/AllOthProgRltdInvestmentsSch/AllOthProgRltdInvestments/Description
AOP-PF-07-ALOTPRREINNV,All Oth Prog Rltd Investments - Amount,SCHED-PF-PART-07-Col-B,Return/ReturnData/AllOthProgRltdInvestmentsSch/AllOtherProgramRelatedInvstGrp/Amt
AOP-PF-07-ALOTPRRLINAM,All Oth Prog Rltd Investments - Amount,SCHED-PF-PART-07-Col-B,Return/ReturnData/AllOthProgRltdInvestmentsSch/AllOthProgRltdInvestments/Amount
ASA-PF-01-AMDEOFAMEXXP,Description of Amortized Expenses,SCHED-PF-PART-01-LINE-23a-A-COL-A,Return/ReturnData/AmortizationSchedule/Amortization/DescriptionOfAmortizedExpenses
ASA-PF-01-AMSCDEAMEXDE,Description of Amortized Expenses,SCHED-PF-PART-01-LINE-23a-A-COL-A,Return/ReturnData/AmortizationSchedule/AmortizationScheduleDetail/AmortizedExpensesDesc
ASA-PF-01-AMDAACCOEXXP,Date Acquired Completed or Expended,SCHED-PF-PART-01-LINE-23a-A-COL-B,Return/ReturnData/AmortizationSchedule/Amortization/DateAcquiredCompletedExpended
ASA-PF-01-ASDACOEDT,Date Acquired Completed or Expended,SCHED-PF-PART-01-LINE-23a-A-COL-B,Return/ReturnData/AmortizationSchedule/AmortizationScheduleDetail/AcquiredCompletedOrExpendedDt
ASA-PF-01-AMORAMOUAMOR,Amount Amortized,SCHED-PF-PART-01-LINE-23a-A-COL-C,Return/ReturnData/AmortizationSchedule/Amortization/AmountAmortized
ASA-PF-01-AMOSCHDETAMO,Amount Amortized,SCHED-PF-PART-01-LINE-23a-A-COL-C,Return/ReturnData/AmortizationSchedule/AmortizationScheduleDetail/AmortizedAmt
ASA-PF-01-AMDEFOPRYEEA,Deduction for Prior Years,SCHED-PF-PART-01-LINE-23a-A-COL-D,Return/ReturnData/AmortizationSchedule/Amortization/DeductionForPriorYears
ASA-PF-01-ASDDFPYEARS,Deduction for Prior Years,SCHED-PF-PART-01-LINE-23a-A-COL-D,Return/ReturnData/AmortizationSchedule/AmortizationScheduleDetail/DeductionForPriorYearsAmt
ASA-PF-01-AMORAMORPERI,Amortization Method,SCHED-PF-PART-01-LINE-23a-A-COL-E,Return/ReturnData/AmortizationSchedule/Amortization/AmortizationPeriod
ASA-PF-01-AMSCDEAMPERT,Amortization Method,SCHED-PF-PART-01-LINE-23a-A-COL-E,Return/ReturnData/AmortizationSchedule/AmortizationScheduleDetail/AmortizationPeriodRt
